,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,BB diameter,ttd,Head tube diameter,dtd,csd,ssd,Seat tube diameter,BB length,Chain stay position on BB,SSTopZOFFSET,MATERIAL,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube
11,480.0,105.0,565.6,75.0,103.8,55.0,562.0,75.0,713.4257454403127,33.0,29.200000000000003,33.0,34.0,22.2,22.2,27.5,68.0,14.0,25.0,STEEL,33.6,43.4,43.7,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
12,444.0,57.5,565.6,71.0,105.4,55.0,457.0,73.0,673.7233493814869,40.0,30.15,50.0,36.5,22.0,17.0,31.8,68.0,15.0,8.0,TITANIUM,24.2,70.9,50.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
13,430.0,67.0,565.6,73.0,150.2,45.0,588.7,72.5,658.441903667924,40.0,32.5,45.0,38.45,23.35,13.0,34.0,68.0,15.0,7.0,STEEL,50.0,28.7,50.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
14,409.43,72.0,565.6,72.5,167.7,45.0,610.0,73.5,672.0915135045531,40.0,28.6,45.0,51.05,23.35,13.0,33.4,68.0,15.0,7.0,ALUMINIUM,33.2,28.6,51.2,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
15,387.57,50.0,565.6,72.0,49.0,40.0,480.0,73.5,584.5843210912171,38.1,25.4,28.6,34.0,17.35,10.5,28.6,68.0,15.0,10.6,STEEL,28.5,19.0,35.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
16,425.0,20.0,565.6,67.99999999999991,136.0,45.0,480.0,72.0,658.2061294403003,30.0,27.700000000000003,40.0,36.5,23.35,18.5,30.0,100.0,15.0,11.2,TITANIUM,40.0,50.0,40.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
17,355.0,25.0,565.6,75.0,139.4,45.0,482.8,74.0,620.9706224563203,38.1,25.4,33.0,34.0,18.75,13.0,28.6,68.0,14.0,25.0,STEEL,32.5,37.8,32.9,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
18,450.0,55.0,565.6,70.5,111.0,45.0,482.6,74.5,706.26485867911,40.0,29.200000000000003,45.0,36.5,22.0,17.0,31.8,68.0,15.0,8.0,STEEL,26.8,50.4,50.9,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
19,400.0,70.5,565.6,75.0,125.0,380.0,690.0,75.0,669.656286963413,90.0,27.5,55.0,36.5,46.0,13.0,31.8,68.0,15.0,7.0,CARBON,20.1,265.0,44.2,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
20,355.0,14.0,565.6,75.0,143.1,380.0,482.8,74.0,613.4347816059487,38.1,25.4,33.0,34.0,18.75,13.0,28.6,68.0,14.0,25.0,STEEL,32.5,37.8,32.8,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
21,442.44,77.0,565.6,71.5,200.0,65.0,640.8,73.0,650.5067586957591,38.1,27.0,31.8,34.0,21.25,10.9,28.6,68.0,16.0,10.6,STEEL,39.9,40.8,43.4,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
22,422.0,50.0,565.6,73.0,150.0,65.0,530.0,74.5,717.4340571146448,50.0,30.15,45.0,36.5,22.0,17.0,31.8,68.0,15.0,8.0,STEEL,27.0,60.6,45.8,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
23,410.0,-10.0,565.6,74.0,127.2,65.0,490.5,74.0,646.7846029638838,39.0,25.4,33.0,34.0,18.75,13.0,25.4,68.0,14.0,25.0,STEEL,36.1,40.5,49.8,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
24,405.0,73.0,565.6,72.0,126.4,77.0,465.0,74.0,650.6593070092218,40.0,28.6,50.0,44.3,26.5,13.0,32.0,68.0,15.0,7.0,ALUMINIUM,35.4,54.9,59.1,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
25,350.0,-14.5,565.6,74.0,90.0,45.0,265.0,74.5,610.7391728894326,40.0,29.200000000000003,45.0,36.5,22.0,18.5,31.8,68.0,15.0,8.0,STEEL,15.0,25.0,35.0,330.0,350.0,16.0,18.0,False,False,110.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
26,395.0,57.0,565.6,74.0,121.7,45.0,530.0,75.0,657.6670606502954,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,7.0,STEEL,44.3,34.5,45.6,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
27,407.0,72.2,565.6,73.03453074346996,148.6,25.0,580.0,72.53453074346996,644.1349020060737,40.0,28.200000000000003,36.0,19.05,23.35,13.0,31.0,68.0,15.0,9.0,CARBON,33.4,22.5,42.9,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
28,425.0,43.0,565.6,70.0,123.6,77.0,520.0,73.0,703.8693533105786,35.0,42.0,45.0,44.95,26.5,18.5,35.0,100.0,15.0,11.2,ALUMINIUM,27.0,62.0,70.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
29,425.0,43.0,565.6,70.0,123.6,72.0,520.0,73.0,703.8693533105786,35.0,42.0,45.0,44.95,26.5,18.5,35.0,100.0,15.0,11.2,ALUMINIUM,27.0,62.0,70.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
30,539.98,50.0,565.6,40.0,100.1,72.0,450.9,40.0,554.7817601166938,38.1,25.4,45.0,34.0,18.75,13.0,28.6,68.0,14.0,25.0,STEEL,35.8,50.9,46.3,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
31,800.0,25.0,565.6,30.0,268.2,72.0,550.0,25.0,562.3684832667249,38.1,27.700000000000003,45.0,34.0,18.75,17.75,28.6,68.0,14.0,25.0,STEEL,37.0,60.0,46.3,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
32,400.0,37.0,565.6,73.0,123.8,40.0,540.0,74.5,623.4443656860658,38.1,25.4,31.7,34.0,17.35,10.5,28.6,68.0,15.0,10.6,STEEL,30.0,44.0,44.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
33,407.0,79.7,565.6,74.035,148.6,25.0,580.0,72.535,685.3063322624585,40.0,28.200000000000003,36.0,19.05,23.35,13.0,31.0,68.0,15.0,9.0,CARBON,40.8,21.0,64.5,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
34,316.85,13.0,565.6,74.0,352.6,45.0,480.1,72.1,514.566274633877,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,ALUMINIUM,26.3,25.1,40.8,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
35,400.0,37.0,565.6,73.0,123.8,40.0,500.0,74.5,623.4443656860658,38.1,25.4,31.7,34.0,17.35,10.5,28.6,68.0,15.0,10.6,STEEL,30.0,300.0,44.0,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
36,440.0,71.0,565.6,71.5,145.9,45.0,520.0,74.0,649.3923136566664,40.0,28.6,45.0,36.5,23.35,13.0,35.0,68.0,15.0,7.0,STEEL,27.0,28.7,51.3,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
37,406.9,69.999999999999,565.6,74.0,117.9,30.0,615.6,74.0,643.2086377161369,40.0,27.700000000000003,38.0,36.5,23.35,13.0,35.0,68.0,15.0,7.0,TITANIUM,36.1,85.6,49.4,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
39,410.0,67.0,565.6,73.0,175.8,45.0,618.7,73.0,646.2059863676842,40.0,30.2,31.7,38.45,17.1,10.5,28.6,68.0,15.0,7.0,STEEL,30.0,28.7,35.0,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
40,405.0,70.0,565.6,72.0,100.0,45.0,530.6,73.5,629.3702191097402,40.0,26.950000000000003,32.0,36.5,23.35,13.0,28.5,68.0,15.0,7.0,CARBON,30.2,20.6,33.2,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
41,405.0,70.0,565.6,73.0,145.0,45.0,515.0,74.0,653.6386402787729,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,STEEL,34.0,49.0,49.9,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
42,395.0,60.0,565.6,73.0,123.6,45.0,570.0,74.0,629.8876707052951,40.0,28.6,45.0,36.5,28.0,15.0,34.9,68.0,15.0,7.0,TITANIUM,30.0,35.0,30.0,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
43,425.0,37.0,565.6,70.0,168.0,72.0,530.0,72.5,704.8509797939472,35.0,40.5,39.0,44.95,26.5,17.0,30.8,100.0,15.0,11.2,STEEL,23.5,62.0,52.5,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
44,410.0,67.0,565.6,73.5,165.6,45.0,588.7,73.5,649.3180509191563,40.0,30.2,31.7,38.45,17.1,10.5,28.6,68.0,15.0,7.0,STEEL,50.0,28.7,35.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
45,385.0,14.0,565.6,76.0,70.6,37.0,455.4,68.0,608.1715405480074,45.0,40.0,35.0,34.5,18.0,15.0,35.0,170.0,15.0,9.0,ALUMINIUM,28.3,35.4,45.2,330.0,350.0,16.0,18.0,False,False,110.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
46,360.0,-10.0,565.6,72.5,120.3,45.0,291.1,74.0,615.8553773983278,40.0,28.6,45.0,36.5,23.35,19.0,30.0,68.0,15.0,9.0,STEEL,32.6,34.1,46.4,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
47,420.0,74.0,565.6,74.0,140.0,40.0,540.0,74.0,643.8938373418057,38.1,25.4,31.7,34.0,17.35,10.5,28.6,68.0,15.0,10.6,STEEL,30.0,44.0,44.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
48,560.0,65.374519184113,565.6,53.4758192027772,142.0,40.0,500.0,56.9758192027772,602.1320237134516,38.1,27.700000000000003,31.7,34.0,17.5,5.25,28.6,68.0,15.0,10.6,CARBON,30.0,40.0,31.7,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
49,405.0,70.0,565.6,73.0,145.0,45.0,516.9,74.0,656.3385308888888,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,STEEL,30.9,50.9,54.8,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
50,405.0,70.0,565.6,73.0,145.0,45.0,515.0,74.0,653.6386402787729,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,STEEL,34.0,49.0,49.9,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
51,405.0,70.0,565.6,76.5,145.0,45.0,515.2,74.0,674.4991407907,40.0,28.6,45.0,36.5,23.35,14.5,31.8,68.0,15.0,9.0,STEEL,32.2,49.2,52.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
52,405.0,70.0,565.6,73.0,145.0,45.0,515.0,74.0,653.6386402787729,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,ALUMINIUM,34.0,49.0,49.9,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
53,405.0,70.0,565.6,73.0,145.0,45.0,515.0,74.0,653.6386402787729,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,ALUMINIUM,34.0,49.0,49.9,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
54,405.04,70.0,565.6,73.0,145.0,45.0,515.0,74.0,653.6386402787729,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,STEEL,34.0,49.0,49.9,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
55,405.0,70.0,565.6,73.0,145.0,45.0,515.0,74.0,653.6386402787729,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,STEEL,34.0,49.0,49.9,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
56,405.0,70.0,565.6,73.0,145.0,45.0,521.5,74.0,656.3385308888888,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,CARBON,30.9,55.5,54.8,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
57,381.0,46.0,565.6,74.5,149.1,45.0,561.0,74.0,637.0381633173889,38.1,27.0,37.0,34.0,21.2,12.6,28.6,68.0,14.0,25.0,STEEL,36.8,38.2,39.8,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
58,360.0,-10.0,565.6,72.5,115.0,45.0,290.9,74.0,617.4388708937233,40.0,28.6,45.0,36.5,23.35,19.0,30.0,68.0,15.0,9.0,STEEL,32.7,33.9,50.3,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
59,405.0,70.0,565.6,72.0,99.8,45.0,500.0,74.0,634.3747857132333,40.0,26.700000000000003,37.0,36.5,23.35,13.0,28.0,68.0,15.0,7.0,CARBON,28.5,35.3,39.7,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
60,405.0,70.0,565.6,72.0,99.8,45.0,500.0,74.0,634.3747857132333,40.0,26.700000000000003,37.0,36.5,23.35,13.0,28.0,68.0,15.0,7.0,CARBON,28.5,35.3,39.7,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
61,405.0,70.0,565.6,72.0,99.8,45.0,500.0,74.0,633.1337857977499,40.0,26.700000000000003,37.0,36.5,23.35,13.0,28.0,68.0,15.0,7.0,CARBON,28.6,35.2,39.6,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
62,445.0,60.0,565.6,72.0,130.0,100.0,535.0,73.0,740.4227763906955,30.0,40.5,46.0,43.75,26.5,17.0,30.4,100.0,15.0,11.2,STEEL,25.0,95.0,40.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
63,408.0,70.0,565.6,72.0,170.6,45.0,567.0,74.0,649.5578111348416,40.0,32.2,34.0,36.5,23.35,13.0,39.0,68.0,15.0,9.0,BAMBOO,34.2,49.0,47.6,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
64,360.0,-10.0,565.6,71.5,114.4,45.0,291.1,74.0,616.9746132745836,40.0,28.6,45.0,36.5,23.35,19.0,30.0,68.0,15.0,9.0,STEEL,22.7,34.1,45.4,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
65,405.0,70.0,565.6,73.0,127.7,45.0,582.5,74.0,654.2008022461495,40.0,29.1,37.0,36.5,21.0,16.65,31.8,68.0,15.0,9.0,TITANIUM,32.8,47.5,46.7,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
66,325.0,70.0,565.6,72.0,92.2,45.0,429.0,72.0,541.8385203634733,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,ALUMINIUM,36.9,46.5,49.4,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
67,325.0,70.0,565.6,72.0,92.2,45.0,429.0,72.0,541.8385203634733,40.0,28.6,45.0,36.5,23.35,13.0,31.8,68.0,15.0,9.0,ALUMINIUM,36.9,46.5,49.4,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
68,380.0,-14.5,565.6,74.0,160.6,45.0,515.4,74.0,607.0798834893413,38.1,25.4,31.8,34.0,20.75,11.425,31.8,68.0,5.0,30.0,STEEL,20.2,215.4,57.3,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
69,400.0,58.0,565.6,73.5,110.7,25.0,550.0,74.5,648.3087539972488,40.0,28.200000000000003,36.0,19.05,23.35,13.0,31.0,68.0,15.0,9.0,ALUMINIUM,34.9,22.1,45.4,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
70,316.24,13.0,565.6,74.0,300.0,33.0,485.8,72.1,512.1014908693285,40.0,37.7,40.0,50.0,50.0,31.5,50.0,68.0,15.0,9.0,OTHER,38.3,30.8,33.7,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
71,408.0,68.0,565.6,72.5,150.8,30.0,547.7,73.0,633.8508579857923,40.0,25.4,31.8,36.5,17.0,12.0,28.6,68.0,15.0,7.0,STEEL,25.0,19.7,30.7,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
72,380.0,70.0,565.6,74.0,194.5,30.0,630.0,70.0,658.1308314353752,38.1,25.4,31.8,34.0,20.75,11.425,28.6,68.0,5.0,10.0,STEEL,27.8,13.3,37.2,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
73,408.0,63.0,565.6,73.5,205.3,45.0,578.0,72.5,655.4290965907493,40.0,28.6,45.0,36.5,23.35,13.0,34.8,68.0,15.0,9.0,CARBON,24.5,48.0,47.8,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
74,410.0,69.0,565.6,72.5,213.0,200.0,605.0,73.5,664.2063209846616,40.0,28.6,45.0,50.0,23.35,13.0,31.8,68.0,15.0,9.0,STEEL,27.1,32.6,49.6,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
75,425.0,37.0,565.6,72.0,161.7,72.0,580.0,73.0,702.2856299863145,35.0,40.5,39.0,44.95,26.5,17.0,30.8,100.0,15.0,11.2,STEEL,23.5,62.0,52.5,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
76,460.0,78.0,565.6,71.0,159.8,46.0,524.4,74.0,666.7199774469632,38.1,28.6,31.8,34.0,17.35,10.5,28.6,68.0,15.0,10.6,STEEL,34.4,34.4,42.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
77,360.0,50.0,565.6,73.0,126.8,46.0,520.0,71.0,615.0537399333004,40.0,38.6,45.0,43.5,23.35,19.0,31.8,68.0,15.0,9.0,ALUMINIUM,25.7,30.0,50.0,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
78,390.0,55.0,565.6,74.0,157.0,45.0,580.0,74.5,634.6794211513123,40.0,28.6,45.0,36.5,28.0,15.0,34.9,68.0,15.0,7.0,TITANIUM,30.0,35.0,40.0,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
79,390.0,58.0,565.6,73.0,134.7,45.0,570.0,74.0,633.5971862538296,40.0,28.6,45.0,36.5,28.0,15.0,34.9,68.0,15.0,7.0,TITANIUM,40.0,35.0,40.0,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
80,407.48,25.0,565.6,73.5,110.0,65.0,430.0,75.5,692.7880983068592,40.0,34.9,39.0,47.95,20.0,16.0,30.0,68.0,15.0,12.3,ALUMINIUM,25.0,50.0,70.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
81,445.0,60.0,565.6,72.0,190.0,45.0,600.0,73.0,717.3012262010889,40.0,38.0,39.0,42.9,25.5,15.0,34.2,73.0,15.0,12.3,ALUMINIUM,32.0,48.9,59.2,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
82,445.0,60.0,565.6,71.5,170.0,45.0,570.0,73.0,707.433390932504,40.0,38.0,39.0,42.9,25.5,15.0,34.2,73.0,15.0,12.3,ALUMINIUM,32.0,48.9,59.2,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
83,445.0,60.0,565.6,71.5,150.0,45.0,540.0,73.0,694.4116011733342,40.0,38.0,39.0,42.9,25.5,15.0,34.2,73.0,15.0,12.3,ALUMINIUM,32.0,48.9,59.2,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
84,425.0,37.0,565.6,70.0,150.0,72.0,505.0,72.5,684.3796922063729,35.0,40.0,39.0,44.95,23.0,16.5,30.2,100.0,15.0,11.2,STEEL,23.5,62.0,48.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
85,385.0,20.0,565.6,69.5,110.0,50.0,300.0,73.0,654.7202094275177,40.0,34.9,40.0,47.95,24.5,16.0,30.0,68.0,15.0,12.3,OTHER,25.0,40.0,50.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
86,425.0,37.0,565.6,70.5,165.0,76.0,505.0,72.5,676.5120728599138,35.0,31.75,46.0,44.7,25.5,16.5,34.2,100.0,15.0,11.2,ALUMINIUM,25.5,62.0,48.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
87,425.0,32.0,565.6,68.5,150.0,72.0,505.0,72.5,681.2732002461984,35.0,40.0,53.0,44.95,23.0,16.5,30.2,100.0,15.0,11.2,STEEL,23.5,65.0,55.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
